article_id,title,link,sentence_id,sentence
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,7,"He told the court that he was then ""grabbed very firmly by a second person"" in a way which meant he could not move his arms."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,8,"Then, Zeraati said, ""the first person took out a knife from his pocket""."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,9,"""After that, the only thing I was focused on was the knife."""
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,10,"""He started stabbing the back of my right thigh very quickly."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,11,"All the time, he was looking me in the eye."""
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,12,"He said the men then ran away ""very fast"" in the direction of Wimbledon Common."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,13,"""I noticed nothing had been stolen,"" Zeraati added."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,14,"""At the moment it clicked… it is not a robbery."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,15,"""I realised this might relate to the threats I had been receiving."""
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,16,"Zeraati said that when he realised he was bleeding heavily he called 999, and a nearby construction worker helped him to stop the bleeding with a ""utility belt""."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,17,"He told the jury the attack was ""violent"", ""very frightening"" and ""very shocking""."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,18,"Zeraati was later taken to hospital, where he was found to have three stab wounds in his upper thigh."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,19,"The prosecution said the first man Zeraati saw was Nandito Badea - whose identity Badea's barrister said was ""not disputed""."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,20,"The second man, according to the prosecution, was David Andrei - who is not on trial."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,21,The jury has been told he is still in Romania.
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,22,"The two men are then said to have run to a waiting Mazda, driven by George Stana."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,23,"""As soon as they got into the car, it moved off at considerable speed even before the doors of it were closed,"" Duncan Atkinson KC said."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,24,"The three men then allegedly dumped their car and got a taxi to Heathrow Airport, where they took a flight to Geneva."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,25,"Atkinson said they ""had fled not just the scene of the attack, but had fled the country""."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,26,"He continued: ""The prosecution case is that these defendants, together with Mr Andrei, were recruited to undertake a proxy attack on Mr Zeraati on behalf of the Islamic Republic of Iran."""
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,27,"The prosecution told the jury that reconnaissance of Zeraati's Wimbledon address had started in March 2023, a year before the attack."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,28,"On 1 March 2023, Zeraati's wife Oldouz Rezvani filmed two men wearing white gloves and blue surgical masks entering the communal garden of their block of flats."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,29,"When the men were stopped by police, one of them was carrying a bag with a cricket bat and a hockey stick."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,30,"The other man was carrying a pair of scissors and £2,140 in cash."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,31,The prosecution said that man was George Stana.
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,32,"Further reconnaissance of the flat is said to have happened a year later, in February and March 2024."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,33,"Atkinson said: ""The confrontation with Mr Zeraati that then took place was far from random, accidental or unplanned."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,34,"""They had not devoted so much time to surveillance for a robbery, but for the targeted knife attack that in fact then happened."""
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,35,"CCTV from the morning of 29 March 2024 shows Badea, Stana and Andrei leaving their hotel and driving to Zeraati's road."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,36,The men then hung around the area for three hours.
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,37,"""Mr Badea and Mr Andrei were waiting for a sighting of their intended victim, whilst Mr Stana waited in the car, ready to drive them away once the deed was done,"" Atkinson said."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,38,"An eyewitness later told police one of the men ""had the appearance of a spy""."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,39,The jury heard that Zeraati's wife had herself been threatened in November 2022.
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,40,She told police that two men on a motorbike rode up to her near her upmarket gym in Chelsea.
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,41,Both were dressed all in black.
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,42,"Speaking in the Persian language Farsi, one of the men said ""your husband is our enemy"" and ""we are going to kill you"" before driving away."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,43,"In a statement read to the court, Oldouz Rezvani said: ""It was an incredibly scary situation."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,44,"I just wanted to get to the gym to get away from there."""
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,45,"Stana and Badea have both denied charges of wounding with intent to do grievous bodily harm, and unlawful wounding."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,46,The trial at Woolwich Crown Court is expected to last up to four weeks.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,1,"US President Donald Trump has said he is holding off a military attack on Iran planned for Tuesday at the request of Gulf states as ""serious negotiations are now taking place""."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,2,"In a post on Truth Social, he said he had been asked to do so by the leaders of Qatar, Saudi Arabia and the United Arab Emirates."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,3,"He said he had been informed a deal would be made that is ""very acceptable"" to the US, adding there would be ""NO NUCLEAR WEAPONS FOR IRAN!"""
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,4,"But he warned the US would be ready to ""go forward with a full, large scale assault of Iran, on a moment's notice"" if there was no acceptable deal."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,5,"A senior Iranian military commander told the US not to make ""strategic mistakes and miscalculations again""."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,6,Trump's latest announcement on Iran comes amid a drop in his approval rating and as polls show the war is increasingly unpopular at home.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,7,"Some 64% of voters believe it was the wrong decision to go to war with Iran, according to a New York Times/Siena poll published on Monday."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,8,The survey also found that just 37% of voters approve of Trump's job performance as president.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,9,"The polling underscores the challenge Republicans face in the midterm elections, in a moment of growing public frustration with the war and Trump's handling of the economy and immigration, among other issues."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,10,"Israeli and US forces began massive air strikes on Iran on 28 February, while Tehran retaliated by firing drones and missiles at Israel and US targets in countries across the Gulf."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,11,A major factor at play here is the fear Gulf Arab states have over how Iran is likely to retaliate after any further attacks by the US.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,12,"Iran is known to retain a significant number of drones and missiles with which it could resume its full-scale attacks on neighbouring states, their airports, petrochemical facilities and even the crucial desalination plants that provide drinking water as summer temperatures in the Gulf build up."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,13,"Talking to reporters later, Trump called it ""a very positive development, but we'll see whether or not it amounts to anything""."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,14,"He said: ""We've had periods of time where we had, we thought, pretty much getting close to making a deal, and it didn't work out."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,15,"But this is a little bit different."""
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,16,"Trump said there seemed to be ""a very good chance"" of an agreement with Iran, adding: ""If we can do that without bombing the hell out of them, I would be very happy."""
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,17,A ceasefire agreed in April meant to facilitate talks has largely been observed despite occasional exchanges of fire.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,18,"Iran has also continued to control the Strait of Hormuz, effectively closing the vital waterway through which around 20% of the world's oil and liquefied natural gas travels."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,19,"The move, which Iran has said is in retaliation for US and Israeli attacks, has sent oil prices soaring globally."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,20,"The US, for its part, has been enforcing a blockade of Iranian ports to exert pressure on Tehran to agree to its terms."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,21,"Late on Monday, Iran's Tasnim news agency published what it said were comments by Supreme Leader Mojtaba Khamenei, warning that new fronts would be opened where the enemy had little experience and would be highly vulnerable."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,22,Tasnim appeared to have reposted Khamenei's quotes from 12 March.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,23,Some Iranian news outlets have taken to republishing his previous written messages.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,24,"Earlier on Monday, Iran said it had responded to the latest US proposal and that exchanges with Washington were continuing through Pakistani mediators."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,25,Iranian media earlier reported the US had failed to make any concrete concessions to Tehran.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,26,"On Sunday, Trump had warned that ""for Iran, Clock is Ticking, and they better get moving, FAST, or there won't be anything left of them""."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,27,"Several days ago, the US president had said the truce was on ""massive life support"" after rejecting Tehran's demands, labelling them ""totally unacceptable""."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,28,"Esmail Baghaei, an Iranian foreign ministry spokesperson, insisted they were ""responsible"" and ""generous""."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,29,"According to Iran's semi-official Tasnim news agency, Iran's demands included an immediate end to the war on all fronts - a reference to the continued Israeli attacks against Iran-supported Hezbollah in Lebanon - a halt to the US naval blockade of Iranian ports, and guarantees of no further attacks on Iran."
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,30,They also reportedly included a demand for compensation for war damage and an emphasis on Iranian sovereignty over the Strait of Hormuz.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,31,Iran's semi-official Fars news agency said on Sunday that Washington had set five conditions in response to Tehran's proposal.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,32,They reportedly included a demand that Iran keep only one nuclear site in operation and transfer its stockpile of highly enriched uranium to the US.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,33,Trump suggested on Friday he would accept a 20-year suspension by Iran of its nuclear programme - a major sticking point between the two countries - in what appeared to be confirmation of a shift in position away from a demand for a total end to it.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,34,The US and its European allies claim Iran is seeking to develop nuclear weapons by enriching uranium.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,35,Tehran has repeatedly said its nuclear programme is solely for peaceful purposes.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,36,Follow the twists and turns of Trump's second term with North America correspondent Anthony Zurcher's weekly US Politics Unspun newsletter.
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,37,Readers in the UK can sign up here .
3,Trump says he called off new Iran attack at request of Gulf states,https://www.bbc.com/news/articles/c7079e55zjro,38,Those outside the UK can sign up here .
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,1,"A journalist working for a Persian-language opposition television station was attacked with a knife in Wimbledon by men working for Iran as part of a campaign of ""Iranian terror"", a court was told."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,2,"Posters of Pouria Zeraati, a journalist for the London-based Iran International, had been put up in the Iranian capital Tehran with the words ""Wanted: dead or alive""."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,3,"Two Romanian men - George Stana, 25, and Nandito Badea, 21 - are on trial at Woolwich Crown Court, accused of attacking Zeraati in late March 2024, leaving him in hospital with three stab wounds in his leg."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,4,"Stana and Badea have both denied charges of wounding with intent to do grievous bodily harm, and unlawful wounding."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,5,"Badea is alleged to have wielded a knife in the attack, while Stana is said to have driven the Mazda used as a getaway car."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,6,"A third Romanian man, David Andrei, who is accused of holding Zeraati during the attack, is not on trial and is still in Romania."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,7,"Duncan Atkinson KC for the prosecution told the jury: ""This was not a random assault, or a form of robbery."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,8,"Rather it was a planned and targeted attack."""
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,9,"""A planned attack preceded by reconnaissance, and which was ordered by a third party acting on behalf of the Iranian state,"" he said."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,10,"Atkinson said that since 2005 ""the Islamic Republic has turned less to its own operatives and increasingly to use proxies such as criminal gangs to meet their threatened violence on their behalf""."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,11,"He said people in the UK had ""become targets of Iranian intimidation and, effectively, of Iranian terror""."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,12,"He said that in November 2022 posters had been put up in the Iranian capital Tehran which included a picture of Zeraati, under the heading ""Wanted: dead or alive""."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,13,"Zeraati's employer, Iran International, had also been designated by the Iranian government as a ""terrorist organisation"", the jury heard."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,14,At one point in 2022 Iran International's offices in London were being protected by armed police.
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,15,"The prosecution said reconnaissance of Zeraati began in March 2023 when Stana was stopped by police in a rear communal garden at Zeraati's address in Wimbledon, having flown in from Bucharest."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,16,"Officers found him wearing gloves and a blue surgical face mask, and with a pair of scissors in his pocket."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,17,An unidentified man with him appeared to be carrying some kind of sports bat in a bag.
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,18,Stana left the UK for Romania soon afterwards.
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,19,"On this trip, the prosecution said, Stana had been in touch with a contact called ""Em"" on WhatsApp about the reconnaissance."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,20,"The messaging included discussions over whether to ""poncher"" (puncture) Zeraati's tyre."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,21,"Atkinson said that analysis of mobile phone mast data shows further reconnaissance was carried out by Badea and Andrei in February and March 2024, in the weeks before the knife attack."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,22,The Mazda car used in the getaway was bought on 6 March 2024.
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,23,"The prosecution said that more than £80,000 was paid into the Revolut bank account of Stana's sister Florina from a London-based construction company called Hemroc Ltd. Money from her account was then transferred to accounts linked to Badea and Stana, the prosecution said, and she also paid for their flights between Bucharest and London."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,24,"""That pattern shows that the defendants' presence in the UK was being funded by others, through Hemroc Ltd and Stana's sister,"" Atkinson said."
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,25,He said the money transfers had been linked by detectives to a British-Iranian dual national called Edgar Hakkopian.
4,"Iranian journalist stabbed in UK by men working for Iran, court told",https://www.bbc.com/news/articles/c3d205nxee8o,26,The trial at Woolwich Crown Court is expected to last up to four weeks.
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,1,The line is crackly.
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,2,"But the voice of Mehrab Abdollahzadeh is clear and, given the circumstances, surprisingly steady."
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,3,He's on death row in western Iran.
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,4,He speaks quickly - as if time is running out.
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,5,And his message is desperate.
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,6,"""You are hearing my voice from Oromiyeh Central Prison, and this may be the last time you hear it,"" he says in a voice note obtained by the Kurdistan Human Rights Network."
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,7,"""From the very first day of my arrest, they forced confessions out of me through torture and threats, confessions that were entirely false."
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,8,None of the charges against me are true.
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,9,"They know it, and God knows it."
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,10,"I am innocent."""
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,11,"Mehrab was arrested back in 2022, during nationwide protests that followed the death in police custody of a young woman, Mahsa Amini, who had been detained for not wearing her veil properly."
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,12,He was accused of involvement in the killing of a member of Iran's Basij militia force.
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,13,"After 42 months of fear and sleepless nights, he was put to death earlier this month - part of a surge in executions of people on political and security charges."
5,'This may be the last time you hear my voice': Political executions surge in Iran since start of war,https://www.bbc.com/news/articles/cn8p392nl7yo,14,"Since the US and Israel attacked Iran on 28 February, the UN says it's verified the execution of at least 32 political prisoners."
